Years,Population growth (annual %),CO2 emissions (metric tons per capita),GDP growth (annual %),"Inflation, GDP deflator (annual %)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Inflation, consumer prices (annual %)"
1990,2.54341698853248,0.6598253249781094,3.0369662939821183,12.971281273028978,34.47217279020308,27.51622901924089,33.28404055931982,24.15113851455158,12.1773522064946
1991,2.48854736178958,0.6360434441626427,-0.5783346510976202,16.526879899413302,34.014443782947424,29.597255152398493,32.5876935379576,20.2183314089379,19.2614585266282
1992,2.43692169509371,0.6725610058818098,0.337603030605635,7.932658328105063,32.83711624871722,29.129767919861433,34.0281852290577,21.338395142202447,8.65100357865264
1993,2.39162198460988,0.7126778451072638,2.116307179213649,6.832158129012228,32.683218296633946,31.359612386119096,39.806857711008185,23.98137076903565,6.71631104109973
1994,2.35506331381177,0.7553441035331243,4.3876233405203635,9.991314597542413,32.52989488059769,33.8256941212051,40.13386243511257,24.062809374505296,10.3864734299518
1995,2.32423288705927,0.8855887159489526,4.678692219100711,7.550870240420068,32.0625766349712,36.35728305711952,44.181251249376295,22.450524698693723,6.83199610989531
1996,2.29162769780264,0.9452150208714092,5.845873472830277,7.661037837035892,32.08591284585726,40.506657237230435,49.2932987464559,24.015825614363685,7.47610377787908
1997,2.25600708968298,1.031481491548253,5.185362275640898,6.224392021297945,32.13302768360721,48.956482000772226,59.293835399957885,24.77575911417072,5.59025939650602
1998,2.22229580254455,1.0034549894057356,-0.5767181471415483,22.38172404443229,34.390201654487726,44.76422710108711,53.898012228277956,23.386361853482835,9.2349343226712
1999,2.19073742433526,0.9489567024845962,3.081916458854252,6.585056799515755,33.05587872657314,45.4893069441421,49.42015079609028,18.95821763798824,5.93904901780807
2000,2.15904576400315,0.9384325063993623,4.411222158660593,9.159202126378403,34.97528476812157,43.344219224021856,41.80914923598203,15.684364157955038,3.9771250324928
2001,2.13259721715136,0.8995533975310968,3.049231344634862,5.61886228085811,34.897615258049065,41.15550150745465,43.74488711629842,18.945175876676622,5.3455019556714
2002,2.10192867951874,0.8964513847801875,3.716255001583832,4.231091813720582,34.78343526285005,40.00567994402893,43.83912414975001,20.459137136974864,2.72277227722769
2003,2.05181558435414,0.9002796682607288,5.086911135130734,3.1921313294937192,34.54056402986292,42.305018371271196,45.269625992392385,19.52873560840631,2.28915662650606
2004,1.97735239047008,0.9009504176953461,6.5692285118062586,5.890758534069533,33.61869620728831,41.82684099079994,45.29844383240489,20.73100744612703,4.82921083627796
2005,1.88936545844739,0.9047074220795248,4.942505118776779,5.910893447854093,33.81367630532408,41.23003921589544,42.61563535490968,18.566530072043406,6.51685393258431
2006,1.79372218827953,0.8056783197607655,5.316416821369387,5.111586662950373,33.46258533038036,41.24545937050842,39.60507930236908,16.015337770384445,5.48523206751053
2007,1.71110434098395,0.8339533363289737,6.519291550189379,3.1642897549487543,33.00086093244904,38.01418633780757,35.630793654255314,16.128647113238603,2.90000000000002
2008,1.65996399032321,0.8440961459062817,4.344487305091832,7.17921618315836,32.765288410954014,33.356833243739196,34.32423752930091,18.967146915478946,8.26044703595724
2009,1.64985843674273,0.8388324815284531,1.4483230627566854,2.7382585664238235,31.52254268126281,30.219525599589158,30.667065187386683,17.431721199199135,4.21903052064627
2010,1.6661133640265,0.8893568178304367,7.334499960345383,4.370884364448884,32.33955604566039,32.874829719567806,33.229448794211876,20.441771139065935,3.78983634797591
2011,1.69181178702327,0.8838543129762338,3.858232827956627,3.91880577530506,31.338682782846906,29.105428878140515,31.690407821767007,20.739936567834917,4.71841704718416
2012,1.70412578861596,0.9058492898233119,6.896951710509853,1.9941760968025193,31.399493363244414,27.46707385772334,30.374931655584835,19.560727968789667,3.02696391124798
2013,1.69208799737211,0.989162120819417,6.750531301422555,2.0610633590686973,30.77544663143309,26.177419809000714,29.64736142302914,20.642224107668977,2.58268766141797
2014,1.64668215233623,1.0387696883841164,6.347987482608673,3.0530553008590573,31.047444475339443,27.35450419092846,30.113667896666012,20.923970437370475,3.59782343864207
2015,1.57936252126472,1.1131762918108752,6.348309716727613,-0.719682789735927,30.481950983496702,27.208057239045143,31.933534866264278,21.340947871106412,0.674192536845412
2016,1.50710255674413,1.2050492605847836,7.149456750007516,1.2803117437396168,30.28591716726943,26.673003343515724,35.10306242187135,24.618503101685043,1.25369880080983
2017,1.44527760718223,1.2987183269351243,6.930988325840204,2.3202599460893936,30.126550576772498,29.552290854669184,38.616078888003514,25.55877386396017,2.85318772590942
2018,1.39596533979435,1.3336909595387005,6.341485571311779,3.740653830220708,30.563740154978063,30.21360537334844,41.949792926058585,27.150582041864148,5.21160460595185
2019,1.36449622326603,,6.118525662562547,0.6970762972060811,30.32750787951625,28.382920012841033,40.45892224673528,26.40180846486251,2.48027858716509
2020,1.34542996462104,,-9.573029874610057,1.6384122026614563,28.398127710212762,25.188108907362857,32.98676116146799,17.383076194159703,2.63522884882108
